	text	pos
142	춸	[('추', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
143	캰	[('캬', 'IC'), ('ㄴ', 'JX')]
144	컨	[('크', 'VA'), ('어', 'EC'), ('ㄴ', 'JX')]
145	켈	[('하', 'XSA'), ('게', 'EC'), ('ㄹ', 'JKO')]
146	쾐	[('쾌', 'NNG'), ('ㄴ', 'JX')]
147	쾔	[('쾌', 'NNG'), ('ㄹ', 'JKO')]
148	쿨	[('쿠', 'NNG'), ('ㄹ', 'JKO')]
149	큔	[('큐', 'NNG'), ('ㄴ', 'JX')]
150	큘	[('큐', 'NNG'), ('ㄹ', 'JKO')]
151	탠	[('태', 'NNP'), ('ㄴ', 'JX')]
152	탤	[('태', 'NNG'), ('ㄹ', 'JKO')]
153	퉨	[('퉤', 'MAG'), ('ㄴ', 'JX')]
154	틴	[('티', 'NNG'), ('ㄴ', 'JX')]
155	틸	[('티', 'NNG'), ('ㄹ', 'JKO')]
156	펀	[('푸', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
157	폔	[('폐', 'NNG'), ('ㄴ', 'JX')]
158	폘	[('폐', 'NNG'), ('ㄹ', 'JKO')]
159	푠	[('표', 'NNG'), ('ㄴ', 'JX')]
160	푤	[('표', 'NNG'), ('ㄹ', 'JKO')]
161	핸	[('하', 'VV'), ('아', 'EC'), ('ㄴ', 'JX')]
162	핼	[('해', 'NNG'), ('ㄹ', 'JKO')]
163	햔	[('햐', 'IC'), ('ㄴ', 'JX')]
164	혠	[('혜', 'NNG'), ('ㄴ', 'JX')]
165	혤	[('혜', 'NNG'), ('ㄹ', 'JKO')]
166	횐	[('회', 'NNB'), ('ㄴ', 'JX')]
167	횔	[('회', 'NNB'), ('ㄹ', 'JKO')]
168	횬	[('효', 'NNG'), ('ㄴ', 'JX')]
169	횰	[('효', 'NNG'), ('ㄹ', 'JKO')]
170	훌	[('후', 'NNG'), ('ㄹ', 'JKO')]
171	휀	[('훼', 'NNG'), ('ㄴ', 'JX')]
172	휄	[('훼', 'NNG'), ('ㄹ', 'JKO')]
173	휸	[('휴', 'NNP'), ('ㄴ', 'JX')]
174	휼	[('휴', 'NNP'), ('ㄹ', 'JKO')]
175	##에	[('#', 'SW'), ('#', 'SW'), ('에', 'JKB')]
176	##서	[('#', 'SW'), ('#', 'SW'), ('서', 'JKB')]
177	##만	[('#', 'SW'), ('#', 'SW'), ('만', 'JX')]
178	##도	[('#', 'SW'), ('#', 'SW'), ('도', 'JX')]
179	##를	[('#', 'SW'), ('#', 'SW'), ('를', 'JKO')]
180	##로	[('#', 'SW'), ('#', 'SW'), ('로', 'JKB')]
181	##킨	[('#', 'SW'), ('#', 'SW'), ('하', 'XSV'), ('기', 'ETN'), ('ㄴ', 'JX')]
182	##다	[('#', 'SW'), ('#', 'SW'), ('다', 'JX')]
183	##은	[('#', 'SW'), ('#', 'SW'), ('은', 'JX')]
184	##는	[('#', 'SW'), ('#', 'SW'), ('는', 'JX')]
185	##과	[('#', 'SW'), ('#', 'SW'), ('과', 'JKB')]
186	##관	[('#', 'SW'), ('#', 'SW'), ('과', 'JKB'), ('ㄴ', 'JX')]
187	##야	[('#', 'SW'), ('#', 'SW'), ('야', 'JX')]
188	##와	[('#', 'SW'), ('#', 'SW'), ('와', 'JKB')]
189	##의	[('#', 'SW'), ('#', 'SW'), ('의', 'JKG')]
190	##델	[('#', 'SW'), ('#', 'SW'), ('데', 'NNB'), ('ㄹ', 'JKO')]
191	##나	[('#', 'SW'), ('#', 'SW'), ('나', 'JX')]
192	##룬	[('#', 'SW'), ('#', 'SW'), ('루', 'JKB'), ('ㄴ', 'JX')]
193	##란	[('#', 'SW'), ('#', 'SW'), ('란', 'JX')]
194	##완	[('#', 'SW'), ('#', 'SW'), ('와', 'JKB'), ('ㄴ', 'JX')]
195	##론	[('#', 'SW'), ('#', 'SW'), ('로', 'JKB'), ('ㄴ', 'JX')]
196	##논	[('#', 'SW'), ('#', 'SW'), ('노', 'NNP'), ('ㄴ', 'JX')]
197	##씬	[('#', 'SW'), ('#', 'SW'), ('씨', 'NNB'), ('ㄴ', 'JX')]
198	##갤	[('#', 'SW'), ('#', 'SW'), ('개', 'NNB'), ('ㄹ', 'JKO')]
199	##딜	[('#', 'SW'), ('#', 'SW'), ('디', 'NNP'), ('ㄹ', 'JKO')]
200	##랑	[('#', 'SW'), ('#', 'SW'), ('랑', 'JKB')]
201	##루	[('#', 'SW'), ('#', 'SW'), ('루', 'JKB')]
202	##랜	[('#', 'SW'), ('#', 'SW'), ('래', 'NNG'), ('ㄴ', 'JX')]
203	##틴	[('#', 'SW'), ('#', 'SW'), ('티', 'NNG'), ('ㄴ', 'JX')]
204	##른	[('#', 'SW'), ('#', 'SW'), ('르', 'NNG'), ('ㄴ', 'JX')]
205	##뿐	[('#', 'SW'), ('#', 'SW'), ('뿐', 'JX')]
206	##께	[('#', 'SW'), ('#', 'SW'), ('께', 'JKB')]
207	##몬	[('#', 'SW'), ('#', 'SW'), ('모', 'NNP'), ('ㄴ', 'JX')]
208	##환	[('#', 'SW'), ('#', 'SW'), ('화', 'XSN'), ('ㄴ', 'JX')]
209	##랠	[('#', 'SW'), ('#', 'SW'), ('래', 'NNG'), ('ㄹ', 'JKO')]
210	##난	[('#', 'SW'), ('#', 'SW'), ('나', 'NP'), ('ㄴ', 'JX')]
211	##턴	[('#', 'SW'), ('#', 'SW'), ('터', 'NNB'), ('ㄴ', 'JX')]
212	##륜	[('#', 'SW'), ('#', 'SW'), ('류', 'NNP'), ('ㄴ', 'JX')]
213	##렌	[('#', 'SW'), ('#', 'SW'), ('레', 'NNP'), ('ㄴ', 'JX')]
214	##엔	[('#', 'SW'), ('#', 'SW'), ('에', 'JKB'), ('ㄴ', 'JX')]
215	##쿨	[('#', 'SW'), ('#', 'SW'), ('쿠', 'NNG'), ('ㄹ', 'JKO')]
216	##겐	[('#', 'SW'), ('#', 'SW'), ('게', 'NNG'), ('ㄴ', 'JX')]
217	##얄	[('#', 'SW'), ('#', 'SW'), ('야', 'NNG'), ('ㄹ', 'JKO')]
218	##렐	[('#', 'SW'), ('#', 'SW'), ('레', 'NNP'), ('ㄹ', 'JKO')]
219	##런	[('#', 'SW'), ('#', 'SW'), ('러', 'NNP'), ('ㄴ', 'JX')]
220	##괄	[('#', 'SW'), ('#', 'SW'), ('과', 'NNG'), ('ㄹ', 'JKO')]
221	##릴	[('#', 'SW'), ('#', 'SW'), ('리', 'NNP'), ('ㄹ', 'JKO')]
222	##킬	[('#', 'SW'), ('#', 'SW'), ('키', 'NNG'), ('ㄹ', 'JKO')]
223	##놀	[('#', 'SW'), ('#', 'SW'), ('노', 'NNP'), ('ㄹ', 'JKO')]
224	##럴	[('#', 'SW'), ('#', 'SW'), ('러', 'NNP'), ('ㄹ', 'JKO')]
225	##컨	[('#', 'SW'), ('#', 'SW'), ('크', 'VA'), ('어', 'EC'), ('ㄴ', 'JX')]
226	##첸	[('#', 'SW'), ('#', 'SW'), ('체', 'NNB'), ('ㄴ', 'JX')]
227	##셜	[('#', 'SW'), ('#', 'SW'), ('시', 'VA'), ('어', 'EC'), ('ㄹ', 'JKO')]
228	##뇰	[('#', 'SW'), ('#', 'SW'), ('뇨', 'NNG'), ('ㄹ', 'JKO')]
229	##쥴	[('#', 'SW'), ('#', 'SW'), ('쥬', 'NNG'), ('ㄹ', 'JKO')]
230	##밸	[('#', 'SW'), ('#', 'SW'), ('배', 'NNG'), ('ㄹ', 'JKO')]
231	##겔	[('#', 'SW'), ('#', 'SW'), ('게', 'NNG'), ('ㄹ', 'JKO')]
232	##닌	[('#', 'SW'), ('#', 'SW'), ('니', 'NP'), ('ㄴ', 'JX')]
233	##걀	[('#', 'SW'), ('#', 'SW'), ('갸', 'NNG'), ('ㄹ', 'JKO')]
234	##펀	[('#', 'SW'), ('#', 'SW'), ('푸', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
235	##믄	[('#', 'SW'), ('#', 'SW'), ('므', 'NNP'), ('ㄴ', 'JX')]
236	##탠	[('#', 'SW'), ('#', 'SW'), ('태', 'NNP'), ('ㄴ', 'JX')]
237	##틸	[('#', 'SW'), ('#', 'SW'), ('티', 'NNG'), ('ㄹ', 'JKO')]
238	##젼	[('#', 'SW'), ('#', 'SW'), ('지', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
239	##괜	[('#', 'SW'), ('#', 'SW'), ('괘', 'NNG'), ('ㄴ', 'JX')]
240	##솔	[('#', 'SW'), ('#', 'SW'), ('소', 'NNP'), ('ㄹ', 'JKO')]
241	##윈	[('#', 'SW'), ('#', 'SW'), ('위', 'NNG'), ('ㄴ', 'JX')]
242	##큘	[('#', 'SW'), ('#', 'SW'), ('큐', 'NNG'), ('ㄹ', 'JKO')]
243	##땐	[('#', 'SW'), ('#', 'SW'), ('때', 'NNG'), ('ㄴ', 'JX')]
244	##첼	[('#', 'SW'), ('#', 'SW'), ('체', 'NNG'), ('ㄹ', 'JKO')]
245	##켈	[('#', 'SW'), ('#', 'SW'), ('하', 'XSV'), ('게', 'EC'), ('ㄹ', 'JKO')]
246	##덴	[('#', 'SW'), ('#', 'SW'), ('데', 'NNB'), ('ㄴ', 'JX')]
247	##챌	[('#', 'SW'), ('#', 'SW'), ('채', 'NNB'), ('ㄹ', 'JKO')]
248	##윌	[('#', 'SW'), ('#', 'SW'), ('위', 'NNG'), ('ㄹ', 'JKO')]
249	##밴	[('#', 'SW'), ('#', 'SW'), ('배', 'NNP'), ('ㄴ', 'JX')]
250	##옌	[('#', 'SW'), ('#', 'SW'), ('예', 'NNG'), ('ㄴ', 'JX')]
251	##귄	[('#', 'SW'), ('#', 'SW'), ('귀', 'NNG'), ('ㄴ', 'JX')]
252	##껄	[('#', 'SW'), ('#', 'SW'), ('꺼', 'NNB'), ('ㄹ', 'JKO')]
253	##묄	[('#', 'SW'), ('#', 'SW'), ('뫼', 'NNG'), ('ㄹ', 'JKO')]
254	##핸	[('#', 'SW'), ('#', 'SW'), ('해', 'NNG'), ('ㄴ', 'JX')]
255	##얀	[('#', 'SW'), ('#', 'SW'), ('야', 'JX'), ('ㄴ', 'JX')]
256	##곈	[('#', 'SW'), ('#', 'SW'), ('계', 'XSN'), ('ㄴ', 'JX')]
257	##옐	[('#', 'SW'), ('#', 'SW'), ('예', 'NNG'), ('ㄹ', 'JKO')]
258	##훌	[('#', 'SW'), ('#', 'SW'), ('후', 'NNG'), ('ㄹ', 'JKO')]
259	##헐	[('#', 'SW'), ('#', 'SW'), ('허', 'NNP'), ('ㄹ', 'JKO')]
260	##쥰	[('#', 'SW'), ('#', 'SW'), ('쥬', 'NNG'), ('ㄴ', 'JX')]
261	##넨	[('#', 'SW'), ('#', 'SW'), ('네', 'XSN'), ('ㄴ', 'JX')]
262	##갠	[('#', 'SW'), ('#', 'SW'), ('개', 'NNB'), ('ㄴ', 'JX')]
263	##욜	[('#', 'SW'), ('#', 'SW'), ('요', 'NNP'), ('ㄹ', 'JKO')]
264	##욘	[('#', 'SW'), ('#', 'SW'), ('요', 'NNP'), ('ㄴ', 'JX')]
265	##뭘	[('#', 'SW'), ('#', 'SW'), ('뭐', 'NP'), ('ㄹ', 'JKO')]
266	##샐	[('#', 'SW'), ('#', 'SW'), ('새', 'NNG'), ('ㄹ', 'JKO')]
267	##뒬	[('#', 'SW'), ('#', 'SW'), ('뒤', 'NNG'), ('ㄹ', 'JKO')]
268	##녠	[('#', 'SW'), ('#', 'SW'), ('녜', 'NNG'), ('ㄴ', 'JX')]
269	##씰	[('#', 'SW'), ('#', 'SW'), ('씨', 'NNB'), ('ㄹ', 'JKO')]
270	##챈	[('#', 'SW'), ('#', 'SW'), ('채', 'NNB'), ('ㄴ', 'JX')]
271	##핼	[('#', 'SW'), ('#', 'SW'), ('해', 'NNG'), ('ㄹ', 'JKO')]
272	##탤	[('#', 'SW'), ('#', 'SW'), ('태', 'NNP'), ('ㄹ', 'JKO')]
273	##왠	[('#', 'SW'), ('#', 'SW'), ('왜', 'NNP'), ('ㄴ', 'JX')]
274	##녈	[('#', 'SW'), ('#', 'SW'), ('녀', 'NNG'), ('ㄹ', 'JKO')]
275	##뚤	[('#', 'SW'), ('#', 'SW'), ('뚜', 'MAG'), ('ㄹ', 'JKO')]
276	##촐	[('#', 'SW'), ('#', 'SW'), ('초', 'NNB'), ('ㄹ', 'JKO')]
277	##푠	[('#', 'SW'), ('#', 'SW'), ('표', 'NNG'), ('ㄴ', 'JX')]
278	##팰	[('#', 'SW'), ('#', 'SW'), ('패', 'NNG'), ('ㄹ', 'JKO')]
279	##쳔	[('#', 'SW'), ('#', 'SW'), ('치', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
280	##ㄹ	[('#', 'SW'), ('#', 'SW'), ('ㄹ', 'JKO')]
281	##횔	[('#', 'SW'), ('#', 'SW'), ('회', 'NNB'), ('ㄹ', 'JKO')]
282	##냔	[('#', 'SW'), ('#', 'SW'), ('냐', 'NNG'), ('ㄴ', 'JX')]
283	##숄	[('#', 'SW'), ('#', 'SW'), ('쇼', 'NNG'), ('ㄹ', 'JKO')]
284	##귈	[('#', 'SW'), ('#', 'SW'), ('귀', 'NNG'), ('ㄹ', 'JKO')]
285	##횐	[('#', 'SW'), ('#', 'SW'), ('회', 'NNB'), ('ㄴ', 'JX')]
286	##둴	[('#', 'SW'), ('#', 'SW'), ('두', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
287	##좐	[('#', 'SW'), ('#', 'SW'), ('좌', 'NNG'), ('ㄴ', 'JX')]
288	##숀	[('#', 'SW'), ('#', 'SW'), ('쇼', 'NNP'), ('ㄴ', 'JX')]
289	##좔	[('#', 'SW'), ('#', 'SW'), ('좌', 'NNG'), ('ㄹ', 'JKO')]
290	##읜	[('#', 'SW'), ('#', 'SW'), ('의', 'NNG'), ('ㄴ', 'JX')]
291	##됄	[('#', 'SW'), ('#', 'SW'), ('되', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
292	##륀	[('#', 'SW'), ('#', 'SW'), ('뤼', 'NNP'), ('ㄴ', 'JX')]
293	##똘	[('#', 'SW'), ('#', 'SW'), ('또', 'MAG'), ('ㄹ', 'JKO')]
294	##꿘	[('#', 'SW'), ('#', 'SW'), ('꾸', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
295	##휀	[('#', 'SW'), ('#', 'SW'), ('훼', 'NNG'), ('ㄴ', 'JX')]
296	##굘	[('#', 'SW'), ('#', 'SW'), ('교', 'NNG'), ('ㄹ', 'JKO')]
297	##읠	[('#', 'SW'), ('#', 'SW'), ('의', 'NNG'), ('ㄹ', 'JKO')]
298	##큔	[('#', 'SW'), ('#', 'SW'), ('큐', 'NNG'), ('ㄴ', 'JX')]
299	##똔	[('#', 'SW'), ('#', 'SW'), ('또', 'MAJ'), ('ㄴ', 'JX')]
300	##폔	[('#', 'SW'), ('#', 'SW'), ('폐', 'NNG'), ('ㄴ', 'JX')]
301	##꽐	[('#', 'SW'), ('#', 'SW'), ('꽈', 'NNG'), ('ㄹ', 'JKO')]
302	##꽌	[('#', 'SW'), ('#', 'SW'), ('꽈', 'NNG'), ('ㄴ', 'JX')]
303	##뚠	[('#', 'SW'), ('#', 'SW'), ('뚜', 'MAG'), ('ㄴ', 'JX')]
304	##죌	[('#', 'SW'), ('#', 'SW'), ('죄', 'NNG'), ('ㄹ', 'JKO')]
305	##뉼	[('#', 'SW'), ('#', 'SW'), ('뉴', 'NNG'), ('ㄹ', 'JKO')]
306	##욀	[('#', 'SW'), ('#', 'SW'), ('외', 'NNB'), ('ㄹ', 'JKO')]
307	##륄	[('#', 'SW'), ('#', 'SW'), ('뤼', 'NNP'), ('ㄹ', 'JKO')]
308	##ㄴ	[('#', 'SW'), ('#', 'SW'), ('ㄴ', 'JX')]
309	##껜	[('#', 'SW'), ('#', 'SW'), ('께', 'JKB'), ('ㄴ', 'JX')]
310	##죈	[('#', 'SW'), ('#', 'SW'), ('죄', 'NNG'), ('ㄴ', 'JX')]
311	##뉸	[('#', 'SW'), ('#', 'SW'), ('뉴', 'NNG'), ('ㄴ', 'JX')]
312	##졀	[('#', 'SW'), ('#', 'SW'), ('지', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
313	##냘	[('#', 'SW'), ('#', 'SW'), ('냐', 'NNG'), ('ㄹ', 'JKO')]
314	##늴	[('#', 'SW'), ('#', 'SW'), ('늬', 'NP'), ('ㄹ', 'JKO')]
315	##짼	[('#', 'SW'), ('#', 'SW'), ('째', 'XSN'), ('ㄴ', 'JX')]
316	##뇬	[('#', 'SW'), ('#', 'SW'), ('뇨', 'NNG'), ('ㄴ', 'JX')]
317	##됀	[('#', 'SW'), ('#', 'SW'), ('되', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
318	##늰	[('#', 'SW'), ('#', 'SW'), ('늬', 'NP'), ('ㄴ', 'JX')]
319	##껸	[('#', 'SW'), ('#', 'SW'), ('끼', 'VV'), ('어', 'EC'), ('ㄴ', 'JX')]
320	##뒨	[('#', 'SW'), ('#', 'SW'), ('뒤', 'NNG'), ('ㄴ', 'JX')]
321	##쟨	[('#', 'SW'), ('#', 'SW'), ('쟤', 'NP'), ('ㄴ', 'JX')]
322	##휼	[('#', 'SW'), ('#', 'SW'), ('휴', 'NNP'), ('ㄹ', 'JKO')]
323	##푤	[('#', 'SW'), ('#', 'SW'), ('표', 'NNG'), ('ㄹ', 'JKO')]
324	##횬	[('#', 'SW'), ('#', 'SW'), ('효', 'NNG'), ('ㄴ', 'JX')]
325	##놜	[('#', 'SW'), ('#', 'SW'), ('놓', 'VV'), ('아', 'EC'), ('ㄹ', 'JKO')]
326	##갼	[('#', 'SW'), ('#', 'SW'), ('갸', 'NNG'), ('ㄴ', 'JX')]
327	##휸	[('#', 'SW'), ('#', 'SW'), ('휴', 'NNP'), ('ㄴ', 'JX')]
328	##쳘	[('#', 'SW'), ('#', 'SW'), ('치', 'VV'), ('어', 'EC'), ('ㄹ', 'JKO')]
329	##얜	[('#', 'SW'), ('#', 'SW'), ('얘', 'NP'), ('ㄴ', 'JX')]
330	##봘	[('#', 'SW'), ('#', 'SW'), ('보', 'VV'), ('아', 'EC'), ('ㄹ', 'JKO')]
